id,role_id,permission_id
1,admin_role,c4e9a010-38b8-4806-a5a9-8d07828f20a2
2,admin_role,4dc28c20-de5d-467a-8478-24f2532b2463
3,admin_role,3d43edd9-c1db-4e00-a465-67c04964263d
4,admin_role,d51d9836-1797-455d-81b5-506d2f14464a
5,admin_role,b5e1b38a-1672-4ee8-86af-d0c367c325eb
6,admin_role,b138d5b6-4832-405e-b8bd-8bbdc31a8e50
7,admin_role,ef1f918d-32e2-4812-8658-e61c3abe3c7f
8,admin_role,43738ecc-b405-4a3e-a5c6-cc3f4c61db4a
9,admin_role,31198323-840a-4de7-af60-483a625cf53b
10,admin_role,e4dced3a-8b69-480e-bda9-65ea5b14132c
11,admin_role,a9773d09-9fb6-4b45-ac89-1cda6c06910e
12,admin_role,dd314d9d-fbea-4af5-961a-28d702399aea
13,admin_role,bb688c32-9793-48b2-aeb0-4d78e40332a3
14,admin_role,6c8892a4-ad14-438f-93d7-320039d2d7d2
15,admin_role,d3400bc4-80de-4493-b7bf-44678edea240
16,admin_role,a7f363d6-ae6e-4450-93c7-d996137c97ff
17,admin_role,bdbed098-7a67-4ab4-abd7-de953c07401d
18,user_role,e4dced3a-8b69-480e-bda9-65ea5b14132c
